filename,width,height,class,xmin,ymin,xmax,ymax
3xuz27.jpg,1920,1080,cheques,213,479,750,735
3xuz27.jpg,1920,1080,cheques,1163,454,1697,711
3xuz26.jpg,1920,1080,cheques,614,113,1157,368
3xuz26.jpg,1920,1080,cheques,1285,71,1828,324
3xuz26.jpg,1920,1080,cheques,602,432,1142,692
3xuz32.jpg,1920,1080,cheques,306,791,846,1046
3xuz32.jpg,1920,1080,cheques,1052,300,1589,554
3xuz32.jpg,1920,1080,cheques,1243,16,1786,270
3xuz55.jpg,1920,1080,cheques,115,482,654,738
3xuz55.jpg,1920,1080,cheques,864,511,1402,767
3xuz41.jpg,1920,1080,cheques,418,149,959,402
3xuz69.jpg,1920,1080,cheques,3,170,539,424
3xuz69.jpg,1920,1080,cheques,746,728,1285,991
3xuz96.jpg,1920,1080,cheques,693,534,1229,789
3xuz82.jpg,1920,1080,cheques,332,388,870,646
3xuz82.jpg,1920,1080,cheques,1368,702,1906,963
3xuz83.jpg,1920,1080,cheques,52,67,590,328
3xuz83.jpg,1920,1080,cheques,1143,328,1684,584
3xuz83.jpg,1920,1080,cheques,1314,595,1852,846
3xuz97.jpg,1920,1080,cheques,511,704,1054,963
3xuz97.jpg,1920,1080,cheques,1254,149,1793,407
3xuz68.jpg,1920,1080,cheques,189,295,722,553
3xuz68.jpg,1920,1080,cheques,1160,254,1699,514
3xuz40.jpg,1920,1080,cheques,728,557,1267,811
3xuz40.jpg,1920,1080,cheques,1297,631,1835,891
3xuz54.jpg,1920,1080,cheques,789,416,1332,671
3xuz54.jpg,1920,1080,cheques,1184,685,1722,938
3xuz42.jpg,1920,1080,cheques,588,539,1129,798
3xuz56.jpg,1920,1080,cheques,325,474,865,736
3xuz56.jpg,1920,1080,cheques,950,185,1489,431
3xuz81.jpg,1920,1080,cheques,235,25,774,277
3xuz81.jpg,1920,1080,cheques,709,781,1246,1048
3xuz95.jpg,1920,1080,cheques,332,416,867,670
3xuz95.jpg,1920,1080,cheques,53,742,597,1000
3xuz95.jpg,1920,1080,cheques,1165,100,1706,357
3xuz94.jpg,1920,1080,cheques,288,491,831,748
3xuz94.jpg,1920,1080,cheques,1096,357,1634,621
3xuz94.jpg,1920,1080,cheques,686,746,1222,1000
3xuz80.jpg,1920,1080,cheques,3,411,540,668
3xuz80.jpg,1920,1080,cheques,1161,379,1697,635
3xuz80.jpg,1920,1080,cheques,1085,10,1622,267
3xuz57.jpg,1920,1080,cheques,1206,42,1746,292
3xuz57.jpg,1920,1080,cheques,1090,525,1628,782
3xuz57.jpg,1920,1080,cheques,1002,803,1542,1056
3xuz43.jpg,1920,1080,cheques,192,573,809,831
3xuz43.jpg,1920,1080,cheques,959,4,1497,257
3xuz47.jpg,1920,1080,cheques,557,160,1093,420
3xuz47.jpg,1920,1080,cheques,670,725,1207,975
3xuz53.jpg,1920,1080,cheques,602,510,1140,764
3xuz53.jpg,1920,1080,cheques,1357,593,1900,850
3xuz53.jpg,1920,1080,cheques,447,777,992,1031
3xuz84.jpg,1920,1080,cheques,635,557,1175,810
3xuz84.jpg,1920,1080,cheques,492,807,1036,1064
3xuz84.jpg,1920,1080,cheques,1329,34,1867,284
3xuz90.jpg,1920,1080,cheques,178,193,722,446
3xuz90.jpg,1920,1080,cheques,579,749,1114,1003
3xuz91.jpg,1920,1080,cheques,397,348,932,600
3xuz91.jpg,1920,1080,cheques,842,709,1377,961
3xuz85.jpg,1920,1080,cheques,504,435,1043,693
3xuz85.jpg,1920,1080,cheques,993,739,1535,1000
3xuz85.jpg,1920,1080,cheques,1038,74,1577,331
3xuz52.jpg,1920,1080,cheques,520,586,1060,842
3xuz46.jpg,1920,1080,cheques,1021,264,1557,518
3xuz46.jpg,1920,1080,cheques,1218,560,1756,825
3xuz78.jpg,1920,1080,cheques,238,298,779,556
3xuz78.jpg,1920,1080,cheques,804,275,1343,538
3xuz50.jpg,1920,1080,cheques,147,468,688,718
3xuz50.jpg,1920,1080,cheques,775,77,1313,329
3xuz50.jpg,1920,1080,cheques,913,492,1454,746
3xuz44.jpg,1920,1080,cheques,697,639,1232,895
3xuz44.jpg,1920,1080,cheques,467,400,1006,639
3xuz93.jpg,1920,1080,cheques,542,331,1084,589
3xuz93.jpg,1920,1080,cheques,711,782,1252,1038
3xuz87.jpg,1920,1080,cheques,138,407,675,663
3xuz87.jpg,1920,1080,cheques,931,141,1470,398
3xuz87.jpg,1920,1080,cheques,1140,703,1677,960
3xuz86.jpg,1920,1080,cheques,104,46,645,306
3xuz86.jpg,1920,1080,cheques,774,564,1313,821
3xuz92.jpg,1920,1080,cheques,1135,279,1670,534
3xuz92.jpg,1920,1080,cheques,874,716,1409,970
3xuz45.jpg,1920,1080,cheques,46,211,585,470
3xuz45.jpg,1920,1080,cheques,1125,179,1661,435
3xuz45.jpg,1920,1080,cheques,310,509,846,764
3xuz51.jpg,1920,1080,cheques,334,388,875,643
3xuz51.jpg,1920,1080,cheques,1200,302,1740,567
3xuz79.jpg,1920,1080,cheques,827,421,1368,675
3xuz79.jpg,1920,1080,cheques,1090,759,1631,1014
3xuz74.jpg,1920,1080,cheques,1056,688,1596,945
3xuz74.jpg,1920,1080,cheques,840,438,1385,684
3xuz60.jpg,1920,1080,cheques,782,595,1321,852
3xuz48.jpg,1920,1080,cheques,532,148,1074,400
3xuz48.jpg,1920,1080,cheques,996,500,1536,757
3xuz48.jpg,1920,1080,cheques,834,823,1377,1080
3xuz49.jpg,1920,1080,cheques,674,388,1214,649
3xuz61.jpg,1920,1080,cheques,1082,216,1627,470
3xuz61.jpg,1920,1080,cheques,1264,784,1804,1043
3xuz75.jpg,1920,1080,cheques,670,291,1211,545
3xuz75.jpg,1920,1080,cheques,43,679,582,939
3xuz63.jpg,1920,1080,cheques,122,779,663,1039
3xuz63.jpg,1920,1080,cheques,163,407,696,661
3xuz77.jpg,1920,1080,cheques,396,189,936,446
3xuz77.jpg,1920,1080,cheques,459,481,996,739
3xuz88.jpg,1920,1080,cheques,617,389,1156,646
3xuz88.jpg,1920,1080,cheques,1264,175,1799,423
3xuz88.jpg,1920,1080,cheques,1263,428,1802,670
3xuz89.jpg,1920,1080,cheques,35,425,572,675
3xuz89.jpg,1920,1080,cheques,1106,484,1643,724
3xuz76.jpg,1920,1080,cheques,778,361,1311,616
3xuz62.jpg,1920,1080,cheques,793,268,1334,525
3xuz62.jpg,1920,1080,cheques,1029,638,1568,898
3xuz66.jpg,1920,1080,cheques,322,159,859,417
3xuz66.jpg,1920,1080,cheques,974,418,1513,677
3xuz72.jpg,1920,1080,cheques,277,311,817,567
3xuz72.jpg,1920,1080,cheques,1327,13,1864,267
3xuz72.jpg,1920,1080,cheques,284,650,829,902
3xuz99.jpg,1920,1080,cheques,1021,103,1560,356
3xuz99.jpg,1920,1080,cheques,1318,396,1853,653
3xuz98.jpg,1920,1080,cheques,984,631,1524,893
3xuz73.jpg,1920,1080,cheques,189,591,732,853
3xuz73.jpg,1920,1080,cheques,1254,479,1792,735
3xuz67.jpg,1920,1080,cheques,255,168,790,427
3xuz67.jpg,1920,1080,cheques,392,699,931,956
3xuz59.jpg,1920,1080,cheques,1185,186,1721,442
3xuz59.jpg,1920,1080,cheques,1356,706,1893,964
3xuz71.jpg,1920,1080,cheques,1128,774,1667,1031
3xuz71.jpg,1920,1080,cheques,1154,441,1696,700
3xuz65.jpg,1920,1080,cheques,313,691,856,946
3xuz65.jpg,1920,1080,cheques,1345,566,1879,814
3xuz64.jpg,1920,1080,cheques,139,149,679,404
3xuz64.jpg,1920,1080,cheques,1145,43,1684,303
3xuz64.jpg,1920,1080,cheques,1236,506,1772,760
3xuz70.jpg,1920,1080,cheques,43,431,581,692
3xuz70.jpg,1920,1080,cheques,811,45,1347,304
3xuz70.jpg,1920,1080,cheques,1067,313,1607,567
3xuz58.jpg,1920,1080,cheques,1059,336,1602,593
3xuz58.jpg,1920,1080,cheques,1318,607,1857,864
3xuz17.jpg,1920,1080,cheques,799,374,1339,624
3xuz17.jpg,1920,1080,cheques,936,781,1472,1034
3xuz16.jpg,1920,1080,cheques,863,166,1404,420
3xuz16.jpg,1920,1080,cheques,838,816,1377,1068
3xuz14.jpg,1920,1080,cheques,1350,536,1892,793
3xuz14.jpg,1920,1080,cheques,557,566,1096,821
3xuz28.jpg,1920,1080,cheques,40,67,579,323
3xuz28.jpg,1920,1080,cheques,572,407,1114,666
3xuz28.jpg,1920,1080,cheques,1368,636,1910,892
3xuz29.jpg,1920,1080,cheques,35,536,574,803
3xuz29.jpg,1920,1080,cheques,1368,156,1907,416
3xuz15.jpg,1920,1080,cheques,725,435,1263,684
3xuz39.jpg,1920,1080,cheques,186,456,725,711
3xuz39.jpg,1920,1080,cheques,1310,238,1843,499
3xuz39.jpg,1920,1080,cheques,984,552,1529,806
3xuz11.jpg,1920,1080,cheques,815,545,1352,800
3xuz11.jpg,1920,1080,cheques,1374,720,1910,979
3xuz38.jpg,1920,1080,cheques,585,49,1121,309
3xuz38.jpg,1920,1080,cheques,511,414,1047,670
3xuz38.jpg,1920,1080,cheques,1025,731,1565,985
3xuz12.jpg,1920,1080,cheques,838,118,1381,377
3xuz12.jpg,1920,1080,cheques,1359,816,1897,1070
3xuz13.jpg,1920,1080,cheques,654,203,1190,452
3xuz13.jpg,1920,1080,cheques,496,582,1035,842
